indikator,satuan,jenis_tanaman,tahun,nilai,kategori_nilai
" Produksi - bersumber BPS","Ton","Kedelai",1983,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1983,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1983,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1984,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1984,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1984,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1984,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1984,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1984,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1984,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1984,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1984,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1985,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1985,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1985,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1985,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1985,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1985,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1985,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1985,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1985,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1986,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1986,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1986,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1986,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1986,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1986,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1986,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1986,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1986,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1987,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1987,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1987,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1987,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1987,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1987,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1987,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1987,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1987,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1988,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1988,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1988,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1988,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1988,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1988,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1988,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1988,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1988,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1989,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1989,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1989,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1989,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1989,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1989,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1989,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1989,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1989,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1990,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1990,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1990,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1990,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1990,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1990,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1990,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1990,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1990,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1991,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1991,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1991,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1991,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1991,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1991,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1991,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1991,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1991,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1992,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1992,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1992,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1992,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1992,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1992,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1992,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1992,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1992,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1993,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1993,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1993,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1993,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1993,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1993,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1993,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1993,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1993,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1994,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1994,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1994,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1994,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1994,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1994,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1994,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1994,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1994,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1995,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1995,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1995,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1995,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1995,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1995,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1995,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1995,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1995,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1996,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1996,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1996,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1996,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1996,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1996,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1996,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1996,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1996,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1997,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1997,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1997,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1997,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1997,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1997,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1997,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1997,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1997,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1998,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1998,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1998,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1998,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1998,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1998,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1998,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1998,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1998,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",1999,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",1999,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",1999,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",1999,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",1999,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",1999,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",1999,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",1999,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",1999,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2000,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2000,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2000,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2000,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2000,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2000,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2000,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2000,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2000,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2001,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2001,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2001,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2001,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2001,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2001,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2001,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2001,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2001,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2002,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2002,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2002,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2002,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2002,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2002,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2002,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2002,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2002,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2003,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2003,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2003,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2003,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2003,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2003,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2003,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2003,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2003,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2004,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2004,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2004,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2004,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2004,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2004,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2004,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2004,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2004,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2005,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2005,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2005,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2005,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2005,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2005,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2005,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2005,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2005,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2006,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2006,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2006,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2006,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2006,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2006,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2006,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2006,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2006,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2007,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2007,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2007,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2007,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2007,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2007,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2007,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2007,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2007,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2008,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2008,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2008,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2008,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2008,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2008,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2008,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2008,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2008,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2009,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2009,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2009,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2009,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2009,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2009,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2009,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2009,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2009,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2010,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2010,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2010,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2010,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2010,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2010,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2010,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2010,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2010,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2011,65385183,"Angka Ramalan III"
" Produksi - bersumber BPS","Ton","Padi Ladang",2011,3268536,"Angka Ramalan III"
" Produksi - bersumber BPS","Ton","Padi Sawah",2011,62116647,"Angka Ramalan III"
" Produksi - bersumber BPS","Ton","Jagung",2011,17230172,"Angka Ramalan III"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2011,334733,"Angka Ramalan III"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2011,676899,"Angka Ramalan III"
" Produksi - bersumber BPS","Ton","Kedelai",2011,870068,"Angka Ramalan III"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2011,2172437,"Angka Ramalan III"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2011,23464322,"Angka Ramalan III"
" Produksi - bersumber BPS","Ton","Padi",2012,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2012,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2012,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2012,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2012,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2012,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2012,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2012,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2012,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2013,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2013,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2013,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2013,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2013,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2013,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2013,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2013,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2013,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi",2014,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Ladang",2014,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Padi Sawah",2014,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Jagung",2014,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Hijau",2014,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kacang Tanah",2014,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Kedelai",2014,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Jalar",2014,0,"Angka Tetap"
" Produksi - bersumber BPS","Ton","Ubi Kayu",2014,0,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi",1969,0,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi Ladang",1969,0,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi Sawah",1969,0,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Jagung",1969,0,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ton/Pohon","Kacang Hijau",1969,0,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Kacang Tanah",1969,0,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Kedelai",1969,0,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Ubi Jalar",1969,0,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Ubi Kayu",1969,0,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi",1970,23.67,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi Ladang",1970,11.14,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi Sawah",1970,26.5,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Jagung",1970,9.61,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ton/Pohon","Kacang Hijau",1970,5.11,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Kacang Tanah",1970,7.4,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Kedelai",1970,7.17,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Ubi Jalar",1970,61,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Ubi Kayu",1970,75,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi",1971,24.25,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi Ladang",1971,11.14,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi Sawah",1971,26.97,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Jagung",1971,9.92,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ton/Pohon","Kacang Hijau",1971,5.07,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Kacang Tanah",1971,7.55,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Kedelai",1971,7.59,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Ubi Jalar",1971,62,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Ubi Kayu",1971,76,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi",1972,24.56,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi Ladang",1972,11.51,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi Sawah",1972,27.12,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Jagung",1972,10.44,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ton/Pohon","Kacang Hijau",1972,5.09,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Kacang Tanah",1972,7.89,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Kedelai",1972,7.43,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Ubi Jalar",1972,61,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Ubi Kayu",1972,71,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi",1973,25.57,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi Ladang",1973,12.5,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi Sawah",1973,28.05,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Jagung",1973,10.75,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ton/Pohon","Kacang Hijau",1973,4.55,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Kacang Tanah",1973,6.98,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Kedelai",1973,7.28,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Ubi Jalar",1973,63,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Ubi Kayu",1973,78,"Angka Tetap"
"Produktivitas - bersumber Kementerian Pertanian","Ku/Ha","Padi",1974,26.42,"Angka Tetap"
