indikator,satuan,jenis_tanaman,tahun,nilai,kategori_nilai
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1975,20858091,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1975,2902887,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1975,62132,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1975,379683,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1975,589831,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1975,2432614,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1975,12545544,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1976,23300939,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1976,1449411,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1976,21851528,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1976,2572139,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1976,69546,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1976,341052,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1976,521777,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1976,2381213,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1976,12190728,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1977,23347132,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1977,1538792,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1977,21808340,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1977,3142654,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1977,86281,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1977,408950,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1977,522821,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1977,2460364,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1977,12487664,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1978,25771570,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1978,1599204,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1978,24172366,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1978,4029201,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1978,100290,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1978,445812,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1978,616599,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1978,2082801,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1978,12902011,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1979,26282663,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1979,1550791,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1979,24731872,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1979,3605535,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1979,102987,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1979,424362,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1979,679825,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1979,2194409,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1979,13750767,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1980,29651905,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1980,1658817,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1980,27993088,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1980,3990939,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1980,141105,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1980,469808,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1980,652762,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1980,2078767,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1980,13726336,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1981,32774176,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1981,1785375,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1981,30988801,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1981,4509302,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1981,148398,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1981,474591,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1981,703811,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1981,2093572,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1981,13300911,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1982,33583677,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1982,1808053,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1982,31775624,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1982,3234825,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1982,123118,"Angka Tetap"
