nama_perusahaan,komoditas,satuan,tahun,nilai
"Monterado Mas Mining, PT","Silver","kg",2002,
"Prima Lirang Mining, PT","Gold","kg",2002,
"Prima Lirang Mining, PT","Silver","kg",2002,
"Kelian Equatorial Mining, PT","Gold","kg",2002,
"Kelian Equatorial Mining, PT","Silver","kg",2002,
"Indo Muro Kencana, PT","Gold","kg",2002,
"Indo Muro Kencana, PT","Silver","kg",2002,
"Newmont Minahasa Raya, PT","Gold","kg",2002,
"Newmont Minahasa Raya, PT","Silver","kg",2002,
"Barisan Tropical Mining, PT","Gold","kg",2002,
"Barisan Tropical Mining, PT","Silver","kg",2002,
"Newmont Nusa Tenggara, PT","Copper conct.","dmt",2002,
"Newmont Nusa Tenggara, PT","Copper","ton",2002,
"Newmont Nusa Tenggara, PT","Gold","kg",2002,
"Newmont Nusa Tenggara, PT","Silver","kg",2002,
"Nusa Halmahera Minerals, PT","Gold","kg",2002,
"Nusa Halmahera Minerals, PT","Silver","kg",2002,
"Avocet Bolaang Mongondouw, PT","Gold","kg",2002,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2002,
"Galuh Cempaka, PT","Diamond","crt",2002,
"Galuh Cempaka, PT","Gold","kg",2002,
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2003,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2003,
"Aneka Tambang Tbk, PT","Gold","kg",2003,2455
"Aneka Tambang Tbk, PT","Silver","kg",2003,7212
"Aneka Tambang Tbk, PT","Bauxite","mt",2003,
"Aneka Tambang Tbk, PT","Iron sand","wmt",2003,108555
"Timah Tbk, PT","Tin metal","ton",2003,2362
"Freeport Indonesia, PT","Copper","ton",2003,125381
"Freeport Indonesia, PT","Gold","kg",2003,15328
"Freeport Indonesia, PT","Silver","kg",2003,23106
"Koba Tin, PT","Tin metal","ton",2003,
"International Nickel Ind, PT","Nickel","ton",2003,
"Gunung Kikara Mining, PT","Tin metal","ton",2003,
"Karimun Granite, PT","Granite","ton",2003,1584945
"Lusang Mining, PT","Gold","kg",2003,
"Lusang Mining, PT","Silver","kg",2003,
"Ampalit Mas Perdana, PT","Gold","kg",2003,
"Ampalit Mas Perdana, PT","Silver","kg",2003,
"Monterado Mas Mining, PT","Gold","kg",2003,
"Monterado Mas Mining, PT","Silver","kg",2003,
"Prima Lirang Mining, PT","Gold","kg",2003,
"Prima Lirang Mining, PT","Silver","kg",2003,
"Kelian Equatorial Mining, PT","Gold","kg",2003,
"Kelian Equatorial Mining, PT","Silver","kg",2003,
"Indo Muro Kencana, PT","Gold","kg",2003,
"Indo Muro Kencana, PT","Silver","kg",2003,
"Newmont Minahasa Raya, PT","Gold","kg",2003,
"Newmont Minahasa Raya, PT","Silver","kg",2003,
"Barisan Tropical Mining, PT","Gold","kg",2003,
"Barisan Tropical Mining, PT","Silver","kg",2003,
"Newmont Nusa Tenggara, PT","Copper conct.","dmt",2003,
"Newmont Nusa Tenggara, PT","Copper","ton",2003,
"Newmont Nusa Tenggara, PT","Gold","kg",2003,
"Newmont Nusa Tenggara, PT","Silver","kg",2003,
"Nusa Halmahera Minerals, PT","Gold","kg",2003,
"Nusa Halmahera Minerals, PT","Silver","kg",2003,
"Avocet Bolaang Mongondouw, PT","Gold","kg",2003,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2003,
"Galuh Cempaka, PT","Diamond","crt",2003,
"Galuh Cempaka, PT","Gold","kg",2003,
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2004,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2004,
"Aneka Tambang Tbk, PT","Gold","kg",2004,2344
"Aneka Tambang Tbk, PT","Silver","kg",2004,20857
"Aneka Tambang Tbk, PT","Bauxite","mt",2004,
"Aneka Tambang Tbk, PT","Iron sand","wmt",2004,107937
"Timah Tbk, PT","Tin metal","ton",2004,1967
"Freeport Indonesia, PT","Copper","ton",2004,
"Freeport Indonesia, PT","Gold","kg",2004,
"Freeport Indonesia, PT","Silver","kg",2004,
"Koba Tin, PT","Tin metal","ton",2004,
"International Nickel Ind, PT","Nickel","ton",2004,
"Gunung Kikara Mining, PT","Tin metal","ton",2004,
"Karimun Granite, PT","Granite","ton",2004,79136
"Lusang Mining, PT","Gold","kg",2004,
"Lusang Mining, PT","Silver","kg",2004,
"Ampalit Mas Perdana, PT","Gold","kg",2004,
"Ampalit Mas Perdana, PT","Silver","kg",2004,
"Monterado Mas Mining, PT","Gold","kg",2004,
"Monterado Mas Mining, PT","Silver","kg",2004,
"Prima Lirang Mining, PT","Gold","kg",2004,
"Prima Lirang Mining, PT","Silver","kg",2004,
"Kelian Equatorial Mining, PT","Gold","kg",2004,
"Kelian Equatorial Mining, PT","Silver","kg",2004,
"Indo Muro Kencana, PT","Gold","kg",2004,
"Indo Muro Kencana, PT","Silver","kg",2004,
"Newmont Minahasa Raya, PT","Gold","kg",2004,
"Newmont Minahasa Raya, PT","Silver","kg",2004,
"Barisan Tropical Mining, PT","Gold","kg",2004,
"Barisan Tropical Mining, PT","Silver","kg",2004,
"Newmont Nusa Tenggara, PT","Copper conct.","dmt",2004,
"Newmont Nusa Tenggara, PT","Copper","ton",2004,
"Newmont Nusa Tenggara, PT","Gold","kg",2004,
"Newmont Nusa Tenggara, PT","Silver","kg",2004,
"Nusa Halmahera Minerals, PT","Gold","kg",2004,
"Nusa Halmahera Minerals, PT","Silver","kg",2004,
"Avocet Bolaang Mongondouw, PT","Gold","kg",2004,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2004,
"Galuh Cempaka, PT","Diamond","crt",2004,
"Galuh Cempaka, PT","Gold","kg",2004,
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2005,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2005,
"Aneka Tambang Tbk, PT","Gold","kg",2005,1724
"Aneka Tambang Tbk, PT","Silver","kg",2005,11985
"Aneka Tambang Tbk, PT","Bauxite","mt",2005,
"Aneka Tambang Tbk, PT","Iron sand","wmt",2005,23267
"Timah Tbk, PT","Tin metal","ton",2005,974
"Freeport Indonesia, PT","Copper","ton",2005,
